Word,Form,TimePeriod,SentenceLength
Lehrerinnen,long,2010s,30
Lehrerinnen,long,2010s,26
Lehrerinnen,long,2010s,22
Lehrerinnen,long,2010s,11
Lehrerinnen,long,2010s,32
Lehrerinnen,long,2010s,30
Lehrerinnen,long,2010s,29
Lehrerinnen,long,2010s,17
Lehrerinnen,long,2010s,8
Lehrerinnen,long,2010s,31
Lehrerinnen,long,2010s,57
Lehrerinnen,long,2010s,20
Lehrerinnen,long,2010s,49
Lehrerinnen,long,2010s,33
Lehrerinnen,long,2010s,12
Lehrerinnen,long,2010s,15
Lehrerinnen,long,2010s,13
Lehrerinnen,long,2010s,12
Lehrerinnen,long,2010s,18
Lehrerinnen,long,2010s,17
Lehrerinnen,long,2010s,43
Lehrerinnen,long,2010s,21
Lehrerinnen,long,2010s,39
Lehrerinnen,long,2010s,37
Lehrerinnen,long,2010s,30
Lehrerinnen,long,2010s,10
Lehrerinnen,long,2010s,32
Lehrerinnen,long,2010s,12
Lehrerinnen,long,2010s,13
Lehrerinnen,long,2010s,15
Lehrerinnen,long,2010s,20
Lehrerinnen,long,2010s,40
Lehrerinnen,long,2010s,15
Lehrerinnen,long,2010s,16
Lehrerinnen,long,2010s,38
Lehrerinnen,long,2010s,22
Lehrerinnen,long,2010s,44
Lehrerinnen,long,2010s,43
Lehrerinnen,long,2010s,15
Lehrerinnen,long,2010s,27
Lehrerinnen,long,2010s,17
Lehrerinnen,long,2010s,18
Lehrerinnen,long,2010s,16
Lehrerinnen,long,2010s,10
Lehrerinnen,long,2010s,9
Lehrerinnen,long,2010s,90
Lehrerinnen,long,2010s,90
Lehrerinnen,long,2010s,64
Lehrerinnen,long,2010s,9
Lehrerinnen,long,2000s,30
Lehrerinnen,long,2000s,44
Lehrerinnen,long,2000s,16
Lehrerinnen,long,2000s,40
Lehrerinnen,long,2000s,14
Lehrerinnen,long,2000s,61
Lehrerinnen,long,2000s,19
Lehrerinnen,long,2000s,24
Lehrerinnen,long,2000s,35
Lehrerinnen,long,2000s,23
Lehrerinnen,long,2000s,10
Lehrerinnen,long,2000s,67
Lehrerinnen,long,2000s,7
Lehrerinnen,short,2010s,26
Lehrerinnen,short,2010s,38
Lehrerinnen,short,2010s,16
Lehrerinnen,short,2010s,7
Lehrerinnen,short,2010s,75
Lehrerinnen,short,2010s,10
Lehrerinnen,short,2010s,14
Lehrerinnen,short,2010s,17
Lehrerinnen,short,2010s,9
Lehrerinnen,short,2010s,16
Lehrerinnen,short,2010s,11
Lehrerinnen,short,2010s,42
Lehrerinnen,short,2010s,8
Lehrerinnen,short,2010s,12
Lehrerinnen,short,2010s,29
Lehrerinnen,short,2010s,21
Lehrerinnen,short,2010s,12
Lehrerinnen,short,2010s,43
Lehrerinnen,short,2010s,29
Lehrerinnen,short,2010s,27
Lehrerinnen,short,2010s,12
Lehrerinnen,short,2010s,20
Lehrerinnen,short,2010s,30
Lehrerinnen,short,2010s,20
Lehrerinnen,short,2010s,14
Lehrerinnen,short,2010s,8
Lehrerinnen,short,2010s,23
Lehrerinnen,short,2010s,37
Lehrerinnen,short,2010s,23
Lehrerinnen,short,2010s,19
Lehrerinnen,short,2010s,17
Lehrerinnen,short,2010s,34
Lehrerinnen,short,2010s,16
Lehrerinnen,short,2010s,16
Lehrerinnen,short,2010s,20
Lehrerinnen,short,2010s,21
Lehrerinnen,short,2010s,13
Lehrerinnen,short,2010s,26
Lehrerinnen,short,2010s,17
Lehrerinnen,short,2010s,18
Lehrerinnen,short,2010s,34
Lehrerinnen,short,2010s,19
Lehrerinnen,short,2010s,66
