Word,Form,TimePeriod,SentenceLength
Autorinnen,long,2000s,29
Autorinnen,long,2000s,23
Autorinnen,long,2000s,5
Autorinnen,long,2000s,35
Autorinnen,long,2000s,14
Autorinnen,long,2000s,18
Autorinnen,long,2000s,22
Autorinnen,long,2000s,20
Autorinnen,long,2000s,14
Autorinnen,long,2000s,22
Autorinnen,long,2000s,24
Autorinnen,long,2000s,22
Autorinnen,long,2000s,14
Autorinnen,long,2000s,11
Autorinnen,long,2000s,15
Autorinnen,long,2000s,12
Autorinnen,long,2000s,30
Autorinnen,long,2000s,35
Autorinnen,long,2000s,16
Autorinnen,long,2000s,21
Autorinnen,long,2000s,6
Autorinnen,long,2000s,24
Autorinnen,long,2000s,20
Autorinnen,short,2010s,32
Autorinnen,short,2010s,64
Autorinnen,short,2010s,21
Autorinnen,short,2010s,8
Autorinnen,short,2010s,14
Autorinnen,short,2010s,20
Autorinnen,short,2010s,16
Autorinnen,short,2010s,23
Autorinnen,short,2010s,17
Autorinnen,short,2010s,22
Autorinnen,short,2010s,36
Autorinnen,short,2010s,20
Autorinnen,short,2010s,33
Autorinnen,short,2010s,17
Autorinnen,short,2010s,34
Autorinnen,short,2010s,22
Autorinnen,short,2010s,20
Autorinnen,short,2010s,16
Autorinnen,short,2010s,32
Autorinnen,short,2010s,14
Autorinnen,short,2010s,39
Autorinnen,short,2010s,8
Autorinnen,short,2010s,14
Autorinnen,short,2010s,24
Autorinnen,short,2010s,28
Autorinnen,short,2010s,15
Autorinnen,short,2010s,30
Autorinnen,short,2010s,14
Autorinnen,short,2010s,29
Autorinnen,short,2010s,25
Autorinnen,short,2010s,9
Autorinnen,short,2010s,10
Autorinnen,short,2010s,30
Autorinnen,short,2010s,17
Autorinnen,short,2010s,30
Autorinnen,short,2010s,6
Autorinnen,short,2010s,11
Autorinnen,short,2010s,33
Autorinnen,short,2010s,26
Autorinnen,short,2010s,26
Autorinnen,short,2010s,4
Autorinnen,short,2010s,29
Autorinnen,short,2010s,12
Autorinnen,short,2010s,40
Autorinnen,short,2010s,12
Autorinnen,short,2010s,9
Autorinnen,short,2010s,19
Autorinnen,short,2010s,25
Autorinnen,short,2010s,22
Autorinnen,short,2010s,31
Autorinnen,short,2010s,25
Autorinnen,short,2010s,33
Autorinnen,short,2010s,12
Autorinnen,short,2010s,15
Autorinnen,short,2010s,29
Autorinnen,short,2010s,14
Autorinnen,short,2010s,25
Autorinnen,short,2010s,7
Autorinnen,short,2010s,27
Autorinnen,short,2010s,34
Autorinnen,short,2010s,21
Autorinnen,short,2010s,24
Autorinnen,short,2010s,14
Autorinnen,short,2010s,21
Autorinnen,short,2010s,16
Autorinnen,short,2010s,34
Autorinnen,short,2010s,40
Autorinnen,short,2010s,11
Autorinnen,short,2010s,11
Autorinnen,short,2010s,30
Autorinnen,short,2010s,17
Autorinnen,short,2010s,67
Autorinnen,short,2010s,7
Autorinnen,short,2010s,36
Autorinnen,short,2010s,33
Autorinnen,short,2010s,7
Autorinnen,short,2010s,17
Autorinnen,short,2010s,27
Autorinnen,short,2010s,16
Autorinnen,short,2010s,3
Autorinnen,short,2010s,60
Autorinnen,short,2010s,36
Autorinnen,short,2010s,21
Autorinnen,short,2010s,16
Autorinnen,short,2010s,49
Autorinnen,short,2010s,22
Autorinnen,short,2010s,47
Autorinnen,short,2010s,13
Autorinnen,short,2010s,21
Autorinnen,short,2010s,32
Autorinnen,short,2010s,17
Autorinnen,short,2010s,17
Autorinnen,short,2010s,10
Autorinnen,short,2010s,40
Autorinnen,short,2010s,25
Autorinnen,short,2010s,10
Autorinnen,short,2010s,31
Autorinnen,short,2010s,9
Autorinnen,short,2010s,10
Autorinnen,short,2010s,17
Autorinnen,short,2010s,43
Autorinnen,short,2010s,9
Autorinnen,short,2010s,15
Autorinnen,short,2010s,47
Autorinnen,short,2010s,19
Autorinnen,short,2010s,36
Autorinnen,short,2010s,6
Autorinnen,short,2010s,21
Autorinnen,short,2010s,20
Autorinnen,short,2010s,25
Autorinnen,short,2010s,14
Autorinnen,short,2010s,27
Autorinnen,short,2010s,5
Autorinnen,short,2010s,21
Autorinnen,short,2010s,35
Autorinnen,short,2010s,17
Autorinnen,short,2010s,10
Autorinnen,short,2010s,57
Autorinnen,short,2010s,56
Autorinnen,short,2010s,28
Autorinnen,short,2010s,12
Autorinnen,short,2010s,19
Autorinnen,short,2010s,42
Autorinnen,short,2010s,30
Autorinnen,short,2010s,15
Autorinnen,short,2010s,21
Autorinnen,short,2010s,32
Autorinnen,short,2010s,13
Autorinnen,short,2010s,44
Autorinnen,short,2010s,31
Autorinnen,short,2010s,16
Autorinnen,short,2010s,16
Autorinnen,short,2010s,27
Autorinnen,short,2010s,35
Autorinnen,short,2010s,39
Autorinnen,short,2010s,14
Autorinnen,short,2010s,25
Autorinnen,short,2010s,64
Autorinnen,short,2010s,18
Autorinnen,short,2010s,14
Autorinnen,short,2010s,12
Autorinnen,short,2010s,30
Autorinnen,short,2010s,30
Autorinnen,short,2010s,17
Autorinnen,short,2010s,21
Autorinnen,short,2010s,15
Autorinnen,short,2010s,21
Autorinnen,short,2010s,16
Autorinnen,short,2010s,14
Autorinnen,short,2010s,16
Autorinnen,short,2010s,17
Autorinnen,short,2010s,7
Autorinnen,short,2010s,21
Autorinnen,short,2010s,37
Autorinnen,short,2010s,55
Autorinnen,short,2010s,49
Autorinnen,short,2010s,15
Autorinnen,short,2010s,15
Autorinnen,short,2010s,26
Autorinnen,short,2010s,21
Autorinnen,short,2010s,14
Autorinnen,short,2010s,16
Autorinnen,short,2010s,18
Autorinnen,short,2010s,14
Autorinnen,short,2010s,24
Autorinnen,short,2010s,53
Autorinnen,short,2010s,53
Autorinnen,short,2010s,14
Autorinnen,short,2010s,12
Autorinnen,short,2010s,29
Autorinnen,short,2010s,34
Autorinnen,short,2010s,19
Autorinnen,short,2010s,33
Autorinnen,short,2010s,22
Autorinnen,short,2010s,19
Autorinnen,short,2010s,74
Autorinnen,short,2010s,48
Autorinnen,short,2010s,21
Autorinnen,short,2010s,36
Autorinnen,short,2010s,15
Autorinnen,short,2010s,18
Autorinnen,short,2010s,12
Autorinnen,short,2010s,23
Autorinnen,short,2010s,35
Autorinnen,short,2010s,24
Autorinnen,short,2010s,8
Autorinnen,short,2010s,35
Autorinnen,short,2010s,84
Autorinnen,short,2010s,38
Autorinnen,short,2010s,36
Autorinnen,short,2010s,3
Autorinnen,short,2010s,36
Autorinnen,short,2010s,20
Autorinnen,short,2010s,6
Autorinnen,short,2010s,17
Autorinnen,short,2010s,24
Autorinnen,short,2010s,27
Autorinnen,short,2010s,38
Autorinnen,short,2010s,79
Autorinnen,short,2010s,79
Autorinnen,short,2010s,22
Autorinnen,short,2010s,24
Autorinnen,short,2010s,6
Autorinnen,short,2010s,29
Autorinnen,short,2010s,5
Autorinnen,short,2010s,43
Autorinnen,short,2010s,20
Autorinnen,short,2010s,18
Autorinnen,short,2010s,57
Autorinnen,short,2010s,30
Autorinnen,short,2010s,13
Autorinnen,short,2010s,31
Autorinnen,short,2010s,64
Autorinnen,short,2010s,19
Autorinnen,short,2010s,49
Autorinnen,short,2010s,18
Autorinnen,short,2010s,14
Autorinnen,short,2010s,14
Autorinnen,short,2010s,30
Autorinnen,short,2010s,29
Autorinnen,short,2010s,39
Autorinnen,short,2010s,14
Autorinnen,short,2010s,19
Autorinnen,short,2010s,5
Autorinnen,short,2010s,12
Autorinnen,short,2010s,37
Autorinnen,short,2010s,42
Autorinnen,short,2010s,10
Autorinnen,short,2010s,14
Autorinnen,short,2010s,31
Autorinnen,short,2010s,13
Autorinnen,short,2010s,16
Autorinnen,short,2010s,20
Autorinnen,short,2010s,24
Autorinnen,short,2010s,10
Autorinnen,short,2010s,20
Autorinnen,short,2010s,16
Autorinnen,short,2010s,13
Autorinnen,short,2010s,17
Autorinnen,short,2010s,29
Autorinnen,short,2010s,36
Autorinnen,short,2010s,42
Autorinnen,short,2010s,24
Autorinnen,short,2010s,22
Autorinnen,short,2010s,26
Autorinnen,short,2010s,30
Autorinnen,short,2010s,54
Autorinnen,short,2010s,53
Autorinnen,short,2010s,53
Autorinnen,short,2010s,21
Autorinnen,short,2010s,14
Autorinnen,short,2010s,23
Autorinnen,short,2010s,9
Autorinnen,short,2010s,35
Autorinnen,short,2010s,11
Autorinnen,short,2010s,14
Autorinnen,short,2010s,66
Autorinnen,short,2010s,36
Autorinnen,short,2010s,40
Autorinnen,short,2010s,34
Autorinnen,short,2010s,19
Autorinnen,short,2010s,81
Autorinnen,short,2010s,26
Autorinnen,short,2010s,11
Autorinnen,short,2010s,22
Autorinnen,short,2010s,35
Autorinnen,short,2010s,78
Autorinnen,short,2010s,40
Autorinnen,short,2010s,16
Autorinnen,short,2010s,19
Autorinnen,short,2010s,23
Autorinnen,short,2010s,15
Autorinnen,short,2010s,25
Autorinnen,short,2010s,26
Autorinnen,short,2010s,20
Autorinnen,short,2010s,42
Autorinnen,short,2010s,17
Autorinnen,short,2010s,7
Autorinnen,short,2010s,17
Autorinnen,short,2010s,14
Autorinnen,short,2010s,22
Autorinnen,short,2010s,76
Autorinnen,short,2010s,39
Autorinnen,short,2010s,38
Autorinnen,short,2010s,40
Autorinnen,short,2010s,54
Autorinnen,short,2010s,27
Autorinnen,short,2010s,22
Autorinnen,short,2010s,21
Autorinnen,short,2010s,15
Autorinnen,short,2010s,28
Autorinnen,short,2010s,17
Autorinnen,short,2010s,27
Autorinnen,short,2010s,23
Autorinnen,short,2010s,15
Autorinnen,short,2010s,25
Autorinnen,short,2010s,14
Autorinnen,short,2010s,27
Autorinnen,short,2010s,35
Autorinnen,short,2010s,74
Autorinnen,short,2010s,75
Autorinnen,short,2010s,28
Autorinnen,short,2010s,30
Autorinnen,short,2010s,22
Autorinnen,short,2010s,25
Autorinnen,short,2010s,36
Autorinnen,short,2010s,35
Autorinnen,short,2010s,19
Autorinnen,short,2010s,66
Autorinnen,short,2010s,10
Autorinnen,short,2010s,38
Autorinnen,short,2010s,47
Autorinnen,short,2010s,15
Autorinnen,short,2010s,43
Autorinnen,short,2010s,24
Autorinnen,short,2010s,30
Autorinnen,short,2010s,18
